Age,Number,Percent,
All ages,306110,100.0,
Under 5 years,21265,6.9,
5 to 9 years,20870,6.8,
10 to 14 years,20020,6.5,
15 to 19 years,20886,6.8,
20 to 24 years,21525,7.0,
25 to 29 years,21382,7.0,
30 to 34 years,20202,6.6,
35 to 39 years,19255,6.3,
40 to 44 years,20587,6.7,
45 to 49 years,21989,7.2,
50 to 54 years,21965,7.2,
55 to 59 years,19554,6.4,
60 to 64 years,17430,5.7,
65 to 69 years,12160,4.0,
70 to 74 years,9254,3.0,
75 to 79 years,7088,2.3,
80 to 84 years,5719,1.9,
85 years and over,4957,1.6,
65 years and over,39179,12.8,
,,,
