Age,Number,Percent
All ages,"311,116",100
Under 5 years,"19,917",6.4
5 to 9 years,"20,536",6.6
10 to 14 years,"20,640",6.6
15 to 19 years,"20,970",6.7
20 to 24 years,"22,153",7.1
25 to 29 years,"21,138",6.8
30 to 34 years,"20,659",6.6
35 to 39 years,"19,221",6.2
40 to 44 years,"20,657",6.6
45 to 49 years,"21,060",6.8
50 to 54 years,"22,386",7.2
55 to 59 years,"20,880",6.7
60 to 64 years,"17,611",5.7
65 to 69 years,"14,437",4.6
70 to 74 years,"10,264",3.3
75 to 79 years,"7,598",2.4
80 to 84 years,"5,692",1.8
85 years and over,"5,296",1.7
65 years and over,"43,287",13.9
