,State,Percent Female 2011,Percent Male 2011,Percent Non-Hispanic White 2011,Percent African American 2011,Percent Hispanic 2011,Percent Other/Unknown 2011,Percent Female 2012,Percent Male 2012,Percent Non-Hispanic White 2012,Percent African American 2012,Percent Hispanic 2012,Percent Other/Unknown 2012,Percent Female 2013,Percent Male 2013,Percent Non-Hispanic White 2013,Percent African American 2013,Percent Hispanic 2013,Percent Other/Unknown 2013,Percent Female 2014,Percent Male 2014,Percent Non-Hispanic White 2014,Percent African American 2014,Percent Hispanic 2014,Percent Other/Unknown 2014,Percent Female 2015,Percent Male 2015,Percent Non-Hispanic White 2015,Percent African American 2015,Percent Hispanic 2015,Percent Other/Unknown 2015,Percent Female 2016,Percent Male 2016,Percent Non-Hispanic White 2016,Percent African American 2016,Percent Hispanic 2016,Percent Other/Unknown 2016
0,AK,50.58,49.42,74.64,2.71,2.34,20.3,50.54,49.46,74.66,2.7,2.4,20.24,50.45,49.55,74.56,2.64,2.38,20.42,50.32,49.68,74.43,2.64,2.47,20.47,50.4,49.6,74.34,2.66,2.56,20.44,50.36,49.64,74.28,2.63,2.6,20.49
1,AL,56.17,43.83,78.51,20.17,0.48,0.83,56.04,43.96,78.38,20.19,0.5,0.94,55.88,44.12,78.25,20.18,0.53,1.05,55.83,44.17,78.07,20.19,0.57,1.17,55.82,44.18,78.08,20.04,0.59,1.29,55.89,44.11,77.95,20.03,0.62,1.39
2,AR,55.43,44.57,87.04,10.89,0.88,1.2,55.31,44.69,86.95,10.81,0.95,1.3,55.22,44.78,86.93,10.66,1.01,1.4,55.19,44.81,86.65,10.73,1.09,1.53,55.13,44.87,86.48,10.73,1.14,1.65,55.09,44.91,86.29,10.74,1.2,1.77
3,AZ,52.58,47.42,84.28,2.38,7.94,5.4,52.63,47.37,84.08,2.36,7.87,5.69,52.64,47.36,83.77,2.38,7.85,6.0,52.65,47.35,83.32,2.39,8.0,6.28,52.72,47.28,83.13,2.38,7.92,6.57,52.85,47.15,82.83,2.39,7.95,6.83
4,CA,54.24,45.76,64.27,5.93,17.32,12.48,54.18,45.82,64.27,5.8,17.28,12.65,54.06,45.94,64.28,5.7,17.14,12.88,53.96,46.04,65.38,5.43,16.3,12.89,53.97,46.03,65.24,5.38,16.32,13.05,53.97,46.03,64.19,5.43,16.72,13.66
5,CO,53.59,46.41,84.59,3.22,9.59,2.6,53.47,46.53,84.33,3.2,9.58,2.88,53.3,46.7,84.05,3.18,9.55,3.22,53.24,46.76,83.87,3.11,9.45,3.57,53.15,46.85,83.68,3.04,9.42,3.86,53.13,46.87,83.41,2.98,9.44,4.17
6,CT,57.41,42.59,86.27,6.37,4.89,2.47,57.34,42.66,85.75,6.41,5.05,2.79,57.18,42.82,85.09,6.52,5.18,3.21,57.0,43.0,84.5,6.59,5.28,3.63,56.81,43.19,83.92,6.59,5.43,4.07,56.51,43.49,83.42,6.61,5.49,4.48
7,DC,58.02,41.98,28.12,66.07,3.21,2.59,57.86,42.14,28.03,65.68,3.43,2.86,57.75,42.25,27.8,65.57,3.54,3.09,57.69,42.31,28.01,64.88,3.72,3.39,57.57,42.43,28.39,64.06,3.85,3.7,57.53,42.47,28.98,63.09,3.93,4.0
8,DE,55.7,44.3,80.85,15.01,1.91,2.23,55.59,44.41,80.67,14.86,1.96,2.51,55.48,44.52,80.24,14.92,2.05,2.79,55.4,44.6,79.81,15.04,2.11,3.04,55.37,44.63,79.39,15.1,2.17,3.34,55.36,44.64,78.96,15.13,2.29,3.62
9,FL,55.12,44.88,81.28,7.89,8.89,1.94,55.04,44.96,81.08,7.89,8.85,2.17,54.94,45.06,80.95,7.85,8.79,2.42,54.76,45.24,81.08,7.81,8.43,2.68,54.72,45.28,81.01,7.72,8.32,2.95,54.7,45.3,80.98,7.6,8.18,3.25
