,State,Beneficiaries 2011,Total Actual Costs 2011,Beneficiaries 2012,Total Actual Costs 2012,Beneficiaries 2013,Total Actual Costs 2013,Beneficiaries 2014,Total Actual Costs 2014,Beneficiaries 2015,Total Actual Costs 2015,Beneficiaries 2016,Total Actual Costs 2016
4,CA,2671637,28662389980.08,2742188,29422028455.97,2766683.0,29921500970.5,2718792,29422283914.61,2755868,30744427238.1,2815420,32425811718.29
44,TX,2321444,25002454108.76,2310636,24780099131.64,2230001.0,23876791994.48,2235759,24293540727.72,2190149,24059376495.38,2223092,24701901753.48
9,FL,2229556,24720553969.45,2217181,24490291516.95,2213241.0,24298591933.81,2208280,24283097090.7,2215360,24514917389.99,2243115,24779654901.86
34,NY,1841408,20579671640.38,1837662,20374299062.07,1825003.0,20248893895.74,1801175,20255995176.58,1788662,20551048090.61,1803929,21275813539.78
14,IL,1587999,16259185273.5,1602266,16299349954.63,1620399.0,16369700739.41,1474203,14906406775.61,1456942,14880495079.06,1472941,15330549694.22
38,PA,1296077,13067582528.88,1310555,13116149706.74,1315861.0,13108650715.61,1328187,13339211768.05,1342770,13783606295.79,1364494,13986184687.52
22,MI,1238257,12815681218.85,1248812,12855141041.15,1246868.0,12746955408.43,1215732,12540276266.61,1169511,12225746592.12,1173277,12289308164.87
31,NJ,1069895,12226516535.04,1066723,12039685680.06,1073861.0,12078093501.52,1106212,12695891038.83,1126367,13186488184.6,1125027,13395735694.73
35,OH,1188394,11815263155.72,1176749,11651273328.09,1178602.0,11673332865.6,1171350,11586051937.74,1133730,11033542102.04,1231405,12080109225.51
27,NC,1230286,10775181885.42,1250814,10830146523.77,1266550.0,10952277621.86,1165099,10283000056.3,1172975,10637342020.47,1185780,10824594788.84
19,MA,805280,8798939070.01,822245,9047953421.19,839091.0,9087733430.9,836439,9112751900.93,854058,9577976398.49,865933,9790209753.41
10,GA,934185,8517885617.3,949352,8690134541.77,944469.0,8605824585.99,948451,8716701926.32,942083,8832431393.66,942647,8889402816.99
46,VA,935092,7828931824.12,955399,8084441268.8,982575.0,8397771545.09,972847,8338565710.33,993994,8706831160.76,1015363,9039703078.11
20,MD,667649,7674973677.21,686588,7824728455.53,707942.0,8044707640.81,728262,8250382179.59,749422,8702541055.4,757662,8766415391.54
15,IN,813102,7582392337.65,815811,7579412079.48,814354.0,7589334931.74,820424,7763018698.13,825113,7998444963.62,824120,7993081724.39
43,TN,767442,6919857145.42,767996,6911791734.35,759902.0,6704135859.49,754329,6736443402.08,746198,6788980628.8,746484,6827557000.4
24,MO,757016,6784808297.36,757322,6789437210.05,758334.0,6777986073.1,756524,6898763227.89,749861,6977573102.51,742846,6946777690.87
1,AL,652415,5667633649.8,664638,5780683345.99,669697.0,5748787120.91,674129,5849636127.87,674322,6030415376.23,674598,6103642664.97
41,SC,646335,5649362317.23,658316,5742176524.47,659206.0,5737967938.5,668223,5866658308.88,681648,6033778518.04,687415,6050643442.44
17,KY,619522,5530219806.33,633760,5651087429.67,597350.0,5333905923.35,596117,5314017339.46,593816,5419812403.21,591387,5440190074.74
49,WA,683588,5470299187.65,684733,5576737240.63,704882.0,5791040469.86,721426,5955564381.7,743922,6301895415.52,767555,6619932724.3
18,LA,504307,5451829322.54,508346,5343774430.65,511651.0,5360837893.5,508967,5366329025.77,505748,5400252492.88,507635,5468193469.09
50,WI,614036,5042491810.53,612087,5051937526.79,615497.0,5120527377.56,613036,5123568874.53,601376,5173833695.59,606310,5202873751.03
3,AZ,546808,4914462834.38,561522,5046898511.72,577447.0,5168575064.08,598254,5331083621.54,616633,5598301555.33,639570,5898227021.39
36,OK,499838,4616168363.79,504314,4607070802.1,511554.0,4658513262.26,519067,4805256842.21,524804,5062959478.6,530294,5193010379.6
6,CT,419901,4581931395.34,414549,4507323824.35,412862.0,4603666751.88,414271,4687844003.11,412120,4752162612.9,412647,4803917308.62
25,MS,446470,4305274711.86,448530,4313482459.51,450349.0,4288718467.65,456373,4397746296.11,458035,4535319781.56,459032,4563028357.88
2,AR,444194,3584526669.42,444390,3613733104.46,441689.0,3584055107.94,444779,3691930410.24,446656,3813157344.01,448753,3901203031.88
12,IA,441190,3444820828.01,445292,3506497451.51,452084.0,3587528489.69,459063,3698456433.99,464411,3879256016.68,457971,3816337327.78
23,MN,400183,3286446386.87,390967,3263456365.63,378437.0,3229268792.9,369520,3243166826.04,362008,3313074494.8,353189,3278864257.37
16,KS,374605,3242101645.84,379104,3290808796.73,383733.0,3338298619.73,389988,3460732305.91,396092,3605678674.16,398696,3651075202.76
5,CO,385994,3165401374.26,397059,3266923805.88,408706.0,3329283677.93,419070,3472561105.98,430901,3652013677.99,447427,3844935194.48
37,OR,341185,2481413347.29,349952,2574317456.16,357297.0,2682267074.73,363225,2804635224.83,371422,3003112705.38,381386,3139493853.27
51,WV,293223,2407729401.03,294571,2459580190.79,293695.0,2467562632.86,289249,2440612050.53,292046,2555045438.44,292113,2604049288.18
33,NV,225638,2220489396.34,233243,2298682274.0,243810.0,2406323725.07,252049,2526491296.64,259584,2651242344.41,265410,2752393846.74
29,NE,239653,2056261338.49,241141,2080570614.22,246783.0,2125586613.77,252508,2210979901.06,258356,2366925126.99,262973,2408186388.32
21,ME,221699,1784178850.28,222136,1776062855.23,222879.0,1810193804.68,221457,1834459377.46,218586,1882777304.73,216034,1892504478.24
30,NH,195532,1675714397.48,206142,1764054634.68,212028.0,1824547501.61,217110,1889772199.5,222846,1980557070.03,226258,2039319032.79
32,NM,214046,1592010768.87,216609,1621451632.76,216888.0,1647566334.34,218510,1701108304.54,222311,1756898182.4,227672,1834036996.31
45,UT,168595,1392190340.98,173883,1429822937.34,186559.0,1506988364.62,193114,1610518240.01,198716,1708560944.45,202913,1762089598.38
8,DE,141033,1374747107.9,144397,1399294182.24,146983.0,1449524466.06,151409,1529939339.4,156300,1593590434.48,159318,1641951797.03
13,ID,159789,1180427181.84,162402,1227532141.19,168132.0,1291619327.98,171598,1350672430.7,175590,1407088902.93,184363,1490024395.95
40,RI,102133,1013534589.74,103470,1011064692.15,106051.0,1046414012.9,106653,1079444952.07,110273,1142375688.16,104025,1060536547.48
