State,Year,Percent Adults,Sample_Size,Obese_Count,GeoLocation
AL,2011,32.0,7304.0,2337.28,"(32.84057112200048, -86.63186076199969)"
OR,2011,26.7,5959.0,1591.05,"(44.56744942400047, -120.15503132599969)"
FL,2011,26.6,11770.0,3130.82,"(28.932040377000476, -81.92896053899966)"
OK,2011,31.1,8159.0,2537.45,"(35.47203135600046, -97.52107021399968)"
OH,2011,29.6,9339.0,2764.34,"(40.06021014100048, -82.40426005599966)"
ND,2011,27.8,4982.0,1385.0,"(47.47531977900047, -100.11842104899966)"
NC,2011,29.1,10790.0,3139.89,"(35.466220975000454, -79.15925046299964)"
HI,2011,21.8,7407.0,1614.73,"(21.304850435000446, -157.85774940299973)"
NY,2011,24.5,7222.0,1769.39,"(42.82700103200045, -75.54397042699964)"
ID,2011,27.0,5739.0,1549.53,"(43.682630005000476, -114.3637300419997)"
NM,2011,26.3,8981.0,2362.0,"(34.52088095200048, -106.24058098499967)"
NJ,2011,23.7,14130.0,3348.81,"(40.13057004800049, -74.27369128799967)"
IL,2011,27.1,5355.0,1451.21,"(40.48501028300046, -88.99771017799969)"
NH,2011,26.2,6049.0,1584.84,"(43.65595011300047, -71.50036091999965)"
DC,2011,23.7,4368.0,1035.22,"(38.89037138500049, -77.03196112699965)"
IN,2011,30.8,8048.0,2478.78,"(39.766910452000445, -86.14996019399968)"
NE,2011,28.4,24366.0,6919.94,"(41.6410409880005, -99.36572062299967)"
IA,2011,29.0,6898.0,2000.42,"(42.46940091300047, -93.81649055599968)"
US,2011,27.4,470700.0,128971.8,
KS,2011,29.6,19619.0,5807.22,"(38.34774030000045, -98.20078122699965)"
MT,2011,24.6,9882.0,2430.97,"(47.06652897200047, -109.42442064499971)"
MO,2011,30.3,6095.0,1846.78,"(38.635790776000476, -92.56630005299968)"
KY,2011,30.4,10114.0,3074.66,"(37.645970271000465, -84.77497104799966)"
MS,2011,34.9,8504.0,2967.9,"(32.745510099000455, -89.53803082499968)"
LA,2011,33.4,10404.0,3474.94,"(31.31266064400046, -92.44568007099969)"
