Age,Number,Percent,,,
All ages,"308,827",100,,,
Under 5 years,"20,110",6.5,,,
5 to 9 years,"20,416",6.6,,,
10 to 14 years,"20,605",6.7,,,
15 to 19 years,"21,239",6.9,,,
20 to 24 years,"21,878",7.1,,,
25 to 29 years,"20,893",6.8,,,
30 to 34 years,"20,326",6.6,,,
35 to 39 years,"19,140",6.2,,,
40 to 44 years,"20,787",6.7,,,
45 to 49 years,"21,583",7,,,
50 to 54 years,"22,372",7.2,,,
55 to 59 years,"20,470",6.6,,,
60 to 64 years,"17,501",5.7,,,
65 to 69 years,"13,599",4.4,,,
70 to 74 years,"9,784",3.2,,,
75 to 79 years,"7,331",2.4,,,
80 to 84 years,"5,786",1.9,,,
85 years and over,"5,006",1.6,,,
65 years and over,"41,507",13.4,,,
,,,,,
