Age,Number,Percent
All ages,"313,401",100
Under 5 years,"19,865",6.3
5 to 9 years,"20,522",6.5
10 to 14 years,"20,642",6.6
15 to 19 years,"20,807",6.6
20 to 24 years,"22,278",7.1
25 to 29 years,"21,474",6.9
30 to 34 years,"20,974",6.7
35 to 39 years,"19,407",6.2
40 to 44 years,"20,382",6.5
45 to 49 years,"20,668",6.6
50 to 54 years,"22,355",7.1
55 to 59 years,"21,109",6.7
60 to 64 years,"18,440",5.9
65 to 69 years,"14,986",4.8
70 to 74 years,"10,805",3.4
75 to 79 years,"7,804",2.5
80 to 84 years,"5,627",1.8
85 years and over,"5,255",1.7
65 years and over,"44,477",14.2
