,State,Percent Female 2008,Percent Male 2008,Percent Non-Hispanic White 2008,Percent African American 2008,Percent Hispanic 2008,Percent Other/Unknown 2008,Percent Female 2011,Percent Male 2011,Percent Non-Hispanic White 2011,Percent African American 2011,Percent Hispanic 2011,Percent Other/Unknown 2011,Percent Female 2014,Percent Male 2014,Percent Non-Hispanic White 2014,Percent African American 2014,Percent Hispanic 2014,Percent Other/Unknown 2014,Percent Female 2017,Percent Male 2017,Percent Non-Hispanic White 2017,Percent African American 2017,Percent Hispanic 2017,Percent Other/Unknown 2017
0,AK,50.78,49.22,74.64,2.69,2.12,20.55,50.58,49.42,74.64,2.71,2.34,20.3,50.32,49.68,74.43,2.64,2.47,20.47,50.51,49.49,74.01,2.6,2.56,20.83
1,AL,56.55,43.45,79.88,19.01,0.43,0.68,56.17,43.83,78.51,20.17,0.48,0.83,55.83,44.17,78.07,20.19,0.57,1.17,54.99,45.01,77.81,19.95,0.71,1.53
2,AR,55.65,44.35,87.78,10.47,0.72,1.03,55.43,44.57,87.04,10.89,0.88,1.2,55.19,44.81,86.65,10.73,1.09,1.53,55.0,45.0,86.26,10.62,1.23,1.89
3,AZ,52.87,47.13,85.19,2.23,7.61,4.97,52.58,47.42,84.28,2.38,7.94,5.4,52.65,47.35,83.32,2.39,8.0,6.28,52.95,47.05,82.84,2.39,7.68,7.1
4,CA,54.5,45.5,65.47,6.04,16.52,11.98,54.24,45.76,64.27,5.93,17.32,12.48,53.96,46.04,65.38,5.43,16.3,12.89,53.95,46.05,63.88,5.36,16.37,14.39
5,CO,54.09,45.91,85.3,3.22,9.31,2.17,53.59,46.41,84.59,3.22,9.59,2.6,53.24,46.76,83.87,3.11,9.45,3.57,53.11,46.89,83.67,2.9,8.94,4.5
6,CT,57.87,42.13,87.83,5.99,4.18,2.0,57.41,42.59,86.27,6.37,4.89,2.47,57.0,43.0,84.5,6.59,5.28,3.63,56.36,43.64,83.09,6.59,5.37,4.96
7,DC,58.39,41.61,28.68,66.27,2.75,2.29,58.02,41.98,28.12,66.07,3.21,2.59,57.69,42.31,28.01,64.88,3.72,3.39,57.44,42.56,29.33,62.12,4.07,4.48
8,DE,56.11,43.89,82.15,14.3,1.75,1.81,55.7,44.3,80.85,15.01,1.91,2.23,55.4,44.6,79.81,15.04,2.11,3.04,55.35,44.65,79.02,14.83,2.22,3.93
9,FL,55.42,44.58,82.36,7.37,8.69,1.58,55.12,44.88,81.28,7.89,8.89,1.94,54.76,45.24,81.08,7.81,8.43,2.68,54.65,45.35,81.24,7.43,7.77,3.56
10,GA,56.82,43.18,76.54,21.05,1.11,1.31,55.84,44.16,74.78,22.09,1.41,1.72,55.14,44.86,74.68,21.28,1.66,2.38,54.71,45.29,74.48,20.64,1.84,3.04
11,HI,53.49,46.51,26.43,0.91,6.09,66.57,52.92,47.08,28.14,0.95,5.79,65.12,52.45,47.55,29.78,1.04,5.73,63.45,52.36,47.64,31.57,1.09,5.69,61.65
12,IA,57.16,42.84,97.0,1.37,0.72,0.9,56.55,43.45,96.37,1.53,0.86,1.24,55.95,44.05,95.43,1.62,1.04,1.91,55.43,44.57,94.57,1.61,1.16,2.66
