,State,Beneficiaries 2008,Total Actual Costs 2008,Beneficiaries 2011,Total Actual Costs 2011,Beneficiaries 2014,Total Actual Costs 2014,Beneficiaries 2017,Total Actual Costs 2017
4,CA,2554662.0,24440556115.86,2671637.0,28662389980.08,2718792.0,29422283914.61,2845251.0,33671826462.13
9,FL,2207902.0,22716869064.47,2229556.0,24720553969.45,2208280.0,24283097090.7,2222669.0,24816598305.05
44,TX,2196911.0,21784445791.34,2321444.0,25002454108.76,2235759.0,24293540727.72,2205833.0,24677807114.38
34,NY,1860653.0,19118299157.17,1841408.0,20579671640.38,1801175.0,20255995176.58,1769968.0,21489458732.2
14,IL,1506477.0,13938305223.87,1587999.0,16259185273.5,1474203.0,14906406775.61,1446658.0,15400383813.82
38,PA,1274519.0,11467774983.32,1296077.0,13067582528.88,1328187.0,13339211768.05,1354331.0,14137744193.68
35,OH,1282710.0,11397661586.59,1188394.0,11815263155.72,1171350.0,11586051937.74,1221336.0,12266623610.85
22,MI,1189309.0,11397196465.96,1238257.0,12815681218.85,1215732.0,12540276266.61,1158686.0,12244949542.39
31,NJ,1052195.0,11044891982.41,1069895.0,12226516535.04,1106212.0,12695891038.83,1052833.0,12800709099.86
27,NC,1143954.0,9112435587.86,1230286.0,10775181885.42,1165099.0,10283000056.3,1186319.0,11070482681.22
10,GA,949391.0,7791280079.95,934185.0,8517885617.3,948451.0,8716701926.32,934137.0,9060670578.03
19,MA,750549.0,7450916959.46,805280.0,8798939070.01,836439.0,9112751900.93,861255.0,9863856040.47
15,IN,807782.0,6757513298.19,813102.0,7582392337.65,820424.0,7763018698.13,816441.0,8053926279.28
46,VA,886572.0,6643155560.09,935092.0,7828931824.12,972847.0,8338565710.33,1025527.0,9353016080.39
20,MD,629450.0,6625769713.4,667649.0,7674973677.21,728262.0,8250382179.59,758402.0,9077659582.09
43,TN,762038.0,6338119925.53,767442.0,6919857145.42,754329.0,6736443402.08,742461.0,6973979928.51
24,MO,746940.0,6119553967.45,757016.0,6784808297.36,756524.0,6898763227.89,729320.0,7006197655.95
1,AL,623778.0,5121891292.02,652415.0,5667633649.8,674129.0,5849636127.87,579331.0,5477483848.58
18,LA,494807.0,4929183295.47,504307.0,5451829322.54,508967.0,5366329025.77,499754.0,5454323512.18
17,KY,604243.0,4904205220.28,619522.0,5530219806.33,596117.0,5314017339.46,583798.0,5572101120.84
41,SC,603195.0,4863248117.84,646335.0,5649362317.23,668223.0,5866658308.88,690332.0,6261958287.15
49,WA,656321.0,4774844135.98,683588.0,5470299187.65,721426.0,5955564381.7,781396.0,6864124646.01
50,WI,626869.0,4752612793.99,614036.0,5042491810.53,613036.0,5123568874.53,607014.0,5323343851.31
6,CT,430334.0,4313713547.25,419901.0,4581931395.34,414271.0,4687844003.11,408995.0,4866220834.69
36,OK,481884.0,4083069963.82,499838.0,4616168363.79,519067.0,4805256842.21,532303.0,5441425180.37
3,AZ,499177.0,3980165178.76,546808.0,4914462834.38,598254.0,5331083621.54,657084.0,6268738650.65
25,MS,425749.0,3774025350.1,446470.0,4305274711.86,456373.0,4397746296.11,455994.0,4639489180.15
23,MN,452194.0,3293716224.3,400183.0,3286446386.87,369520.0,3243166826.04,342843.0,3286387434.27
2,AR,431861.0,3228959188.32,444194.0,3584526669.42,444779.0,3691930410.24,444843.0,4000943848.77
