"Table 1 
National Health Expenditures; Aggregate and Per Capita Amounts, Annual Percent Change and Percent Distribution: Calendar Years 1960-2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount,1960 ,1961 ,1962 ,1963 ,1964 ,1965 ,1966 ,1967 ,1968 ,1969 ,1970 ,1971 ,1972 ,1973 ,1974 ,1975 ,1976 ,1977 ,1978 ,1979 ,1980 ,1981 ,1982 ,1983 ,1984 ,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures (Amount in Billions), 27.2 , 29.1 , 31.8 , 34.6 , 38.4 , 41.9 , 46.1 , 51.6 , 58.4 , 65.9 , 74.6 , 82.7 , 92.7 , 102.8 , 116.5 , 133.3 , 152.7 , 173.9 , 195.3 , 221.5 , 255.3 , 296.2 , 334.0 , 367.8 , 405.0 , 442.9 , 474.7 , 516.5 , 579.3 , 644.8 , 721.4 , 788.1 , 854.1 , 916.6 , 967.2 ," 1,021.6 "," 1,074.4 "," 1,135.2 "," 1,201.5 "," 1,277.7 "," 1,369.2 "," 1,486.2 "," 1,628.7 "," 1,767.6 "," 1,895.8 "," 2,023.8 "," 2,156.2 "," 2,294.4 "," 2,397.1 "," 2,491.8 "," 2,593.2 "," 2,682.6 "," 2,791.1 "," 2,875.0 "," 3,025.4 "," 3,199.6 "," 3,347.4 "," 3,487.3 "," 3,649.4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Consumption Expenditures, 24.7 , 26.3 , 28.4 , 30.9 , 34.1 , 37.2 , 41.2 , 46.5 , 52.7 , 59.1 , 67.0 , 74.3 , 83.3 , 93.1 , 105.9 , 121.1 , 139.3 , 159.9 , 180.0 , 204.6 , 235.5 , 273.4 , 308.0 , 339.5 , 375.1 , 412.8 , 443.7 , 482.3 , 540.5 , 602.3 , 674.1 , 737.7 , 798.7 , 857.7 , 905.7 , 958.2 ," 1,009.6 "," 1,064.8 "," 1,126.3 "," 1,197.0 "," 1,285.9 "," 1,398.8 "," 1,531.9 "," 1,663.9 "," 1,784.4 "," 1,904.1 "," 2,031.0 "," 2,156.0 "," 2,249.0 "," 2,352.8 "," 2,450.5 "," 2,533.4 "," 2,637.7 "," 2,720.9 "," 2,875.6 "," 3,045.5 "," 3,190.7 "," 3,319.0 "," 3,475.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Personal Health Care, 23.3 , 24.8 , 26.7 , 29.1 , 32.0 , 34.7 , 38.4 , 43.5 , 49.1 , 55.5 , 63.1 , 69.4 , 77.2 , 86.2 , 98.8 , 113.2 , 129.3 , 146.7 , 164.2 , 187.1 , 217.0 , 251.8 , 283.1 , 311.7 , 341.6 , 376.4 , 408.8 , 447.7 , 498.5 , 550.4 , 615.3 , 675.9 , 731.5 , 778.7 , 820.2 , 869.6 , 917.5 , 969.2 ," 1,025.6 "," 1,085.7 "," 1,161.5 "," 1,261.4 "," 1,367.1 "," 1,477.2 "," 1,587.5 "," 1,695.7 "," 1,804.3 "," 1,917.6 "," 2,008.8 "," 2,111.4 "," 2,191.4 "," 2,267.3 "," 2,361.1 "," 2,431.2 "," 2,556.0 "," 2,710.2 "," 2,838.3 "," 2,954.5 "," 3,075.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Government Administration and Net Cost of Health Insurance, 1.1 , 1.2 , 1.3 , 1.3 , 1.5 , 1.8 , 2.1 , 2.1 , 2.6 , 2.4 , 2.6 , 3.2 , 4.3 , 4.8 , 4.5 , 4.9 , 6.8 , 9.5 , 11.2 , 12.1 , 12.1 , 14.1 , 16.3 , 18.5 , 23.6 , 25.2 , 22.5 , 21.0 , 26.7 , 34.1 , 38.7 , 39.7 , 42.9 , 52.3 , 55.9 , 57.6 , 59.7 , 60.7 , 63.2 , 70.5 , 81.3 , 90.6 , 112.6 , 132.5 , 142.0 , 151.1 , 165.9 , 172.4 , 168.7 , 167.3 , 183.4 , 191.7 , 199.4 , 210.7 , 237.5 , 249.4 , 263.7 , 273.2 , 306.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Government Public Health Activities, 0.4 , 0.4 , 0.5 , 0.5 , 0.6 , 0.6 , 0.7 , 0.9 , 1.0 , 1.2 , 1.4 , 1.7 , 1.9 , 2.1 , 2.6 , 3.0 , 3.2 , 3.8 , 4.6 , 5.4 , 6.4 , 7.5 , 8.6 , 9.3 , 9.8 , 11.2 , 12.4 , 13.6 , 15.3 , 17.8 , 20.0 , 22.1 , 24.4 , 26.8 , 29.6 , 31.0 , 32.4 , 34.8 , 37.5 , 40.7 , 43.0 , 46.8 , 52.2 , 54.2 , 54.9 , 57.3 , 60.9 , 66.0 , 71.6 , 74.2 , 75.7 , 74.4 , 77.2 , 79.0 , 82.0 , 85.8 , 88.7 , 91.4 , 93.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Investment, 2.5 , 2.8 , 3.4 , 3.7 , 4.3 , 4.7 , 4.9 , 5.1 , 5.7 , 6.8 , 7.5 , 8.4 , 9.3 , 9.7 , 10.7 , 12.2 , 13.4 , 13.9 , 15.3 , 17.0 , 19.9 , 22.7 , 26.0 , 28.4 , 29.9 , 30.1 , 31.0 , 34.2 , 38.8 , 42.5 , 47.3 , 50.4 , 55.3 , 58.9 , 61.6 , 63.5 , 64.8 , 70.4 , 75.1 , 80.8 , 83.3 , 87.4 , 96.8 , 103.7 , 111.4 , 119.7 , 125.2 , 138.4 , 148.0 , 138.9 , 142.7 , 149.2 , 153.3 , 154.1 , 149.8 , 154.1 , 156.7 , 168.3 , 174.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Population1 (Millions),186.2 ,189.2 ,192.0 ,194.8 ,197.4 ,199.8 ,201.9 ,203.7 ,205.6 ,207.6 ,210.2 ,212.8 ,214.9 ,216.7 ,218.4 ,220.2 ,222.0 ,223.8 ,225.9 ,228.1 ,230.4 ,232.7 ,235.0 ,237.2 ,239.4 ,241.6 ,243.9 ,246.1 ,248.4 ,250.8 ,253.7 ,256.7 ,259.8 ,262.9 ,265.7 ,268.4 ,271.1 ,273.8 ,276.6 ,279.3 ,282.0 ,284.8 ,287.5 ,289.9 ,292.6 ,295.3 ,298.1 ,301.0 ,303.8 ,306.4 ,308.9 ,311.0 ,313.3 ,315.5 ,317.9 ,320.1 ,322.5 ,324.6 ,326.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Domestic Product2  (Amount in Billions), 542.4 , 562.2 , 603.9 , 637.5 , 684.5 , 742.3 , 813.4 , 860.0 , 940.7 ," 1,017.6 "," 1,073.3 "," 1,164.9 "," 1,279.1 "," 1,425.4 "," 1,545.2 "," 1,684.9 "," 1,873.4 "," 2,081.8 "," 2,351.6 "," 2,627.3 "," 2,857.3 "," 3,207.0 "," 3,343.8 "," 3,634.0 "," 4,037.6 "," 4,339.0 "," 4,579.6 "," 4,855.2 "," 5,236.4 "," 5,641.6 "," 5,963.1 "," 6,158.1 "," 6,520.3 "," 6,858.6 "," 7,287.2 "," 7,639.7 "," 8,073.1 "," 8,577.6 "," 9,062.8 "," 9,630.7 "," 10,252.3 "," 10,581.8 "," 10,936.4 "," 11,458.2 "," 12,213.7 "," 13,036.6 "," 13,814.6 "," 14,451.9 "," 14,712.8 "," 14,448.9 "," 14,992.1 "," 15,542.6 "," 16,197.0 "," 16,784.9 "," 17,527.3 "," 18,224.8 "," 18,715.0 "," 19,519.4 "," 20,580.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures (Annual Percent Change) ,,7.1,9.3,8.6,11.0,9.0,10.1,11.9,13.3,12.9,13.1,11.0,12.0,11.0,13.4,14.4,14.6,13.8,12.4,13.4,15.3,16.0,12.8,10.1,10.1,9.4,7.2,8.8,12.2,11.3,11.9,9.2,8.4,7.3,5.5,5.6,5.2,5.7,5.8,6.3,7.2,8.5,9.6,8.5,7.2,6.8,6.5,6.4,4.5,4.0,4.1,3.4,4.0,3.0,5.2,5.8,4.6,4.2,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
